Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time,
hackernews,hn-search,0.244,2,1,7,0.001,0,2.182,
hackernews,hn-search,0.244,2,1,7,0.001,0,2.194,
hackernews,hn-search,0.244,2,1,7,0.001,0,2.174,
ace,ace-sidebar,-,240,-,-,-,-,-,-
ace,ace-sidebar,-,240,-,-,-,-,-,-
ace,ace-sidebar,-,240,-,-,-,-,-,-
ace,ace-sidebar-logo,0.306,3,0.667,21,0.002,0,3.076,
ace,ace-sidebar-logo,0.306,3,0.667,21,0.002,0,3.117,
ace,ace-sidebar-logo,0.306,3,0.667,21,0.002,0,3.074,
ace,ace-option-toggle,0.385,7,1,57,0.006,0,6.716,
ace,ace-option-toggle,0.385,7,1,57,0.005,0.001,6.724,
ace,ace-option-toggle,0.385,7,1,57,0.005,0.001,6.743,
ace,ace-option-dropdown,-,5,-,-,-,-,-,-
ace,ace-option-dropdown,-,5,-,-,-,-,-,-
ace,ace-option-dropdown,-,5,-,-,-,-,-,-
ace,ace-sidebar-footer,0.198,11,1,117,0.011,0,9.646,
ace,ace-sidebar-footer,0.25,11,1,118,0.011,0,9.992,
ace,ace-sidebar-footer,0.25,11,1,118,0.01,0.001,9.263,
ace,ace-editor,0.125,5,0.98,46,0.004,0,4.198,
ace,ace-editor,0.125,5,0.98,46,0.003,0.001,4.325,
ace,ace-editor,0.125,5,0.98,46,0.004,0,4.278,
ace,ace-prompt,0.141,4,1,38,0.003,0,3.883,
ace,ace-prompt,0.141,4,1,37,0.003,0,3.855,
ace,ace-prompt,0.141,4,1,38,0.003,0,3.913,
fwt-main,fwt-main-logo,0,1,1,0,0,0,1.758,
fwt-main,fwt-main-logo,0,1,1,0,0,0,1.749,
fwt-main,fwt-main-logo,0,1,1,0,0,0,1.726,
fwt-main,fwt-main-picker,-,137,-,-,-,-,-,-
fwt-main,fwt-main-picker,0.251,137,1,1377,0.684,0.016,116.202,
fwt-main,fwt-main-picker,0.258,137,1,1380,0.66,0.015,115.815,
fwt-main,fwt-main-item,0.345,12,1,108,0.01,0.001,9.038,
fwt-main,fwt-main-item,0.345,12,1,108,0.01,0,9.075,
fwt-main,fwt-main-item,0.439,12,1,104,0.01,0.001,9.101,
fwt-main,fwt-main-footer,0.424,19,1,161,0.017,0.002,16.713,
fwt-main,fwt-main-footer,0.425,19,1,164,0.019,0.001,14.982,
fwt-main,fwt-main-footer,0.425,19,1,165,0.02,0.001,14.937,
ieee,ieee-navigation,0.419,23,1,166,0.023,0.002,19.568,
ieee,ieee-navigation,0.399,23,1,166,0.024,0.002,20.129,
ieee,ieee-navigation,0.396,23,1,167,0.026,0.001,19.83,
ieee,ieee-search,0.15,1,1,0,0,0,1.726,
ieee,ieee-search,0.15,1,1,0,0,0,1.756,
ieee,ieee-search,0.15,1,1,0,0,0,1.743,
ieee,ieee-news,0.285,36,0.958,366,0.057,0.001,24.916,
ieee,ieee-news,0.285,36,0.958,366,0.056,0.001,24.61,
ieee,ieee-news,0.285,36,0.958,366,0.054,0.001,24.84,
ieee,ieee-footer,0.339,49,1,435,0.1,0.007,34.652,
ieee,ieee-footer,0.357,49,0.98,427,0.093,0.006,34.745,
ieee,ieee-footer,0.338,49,1,439,0.089,0.007,34.302,
fwt-space,fwt-space-header,0.1,3,1,23,0.002,0,3.128,
fwt-space,fwt-space-header,0.1,3,1,23,0.002,0,3.146,
fwt-space,fwt-space-header,0.1,3,1,23,0.002,0,3.171,
fwt-space,fwt-space-navigation,0.161,3,1,23,0.002,0,3.161,
fwt-space,fwt-space-navigation,0.161,3,1,23,0.002,0,3.145,
fwt-space,fwt-space-navigation,0.161,3,1,23,0.002,0,3.193,
fwt-space,fwt-space-logo,0.139,11,1,155,0.012,0,11.327,
fwt-space,fwt-space-logo,0.139,11,1,155,0.012,0,11.898,
fwt-space,fwt-space-logo,0.139,11,1,155,0.012,0.001,11.557,
fwt-space,fwt-space-featured,0.1,5,1,51,0.004,0,4.483,
fwt-space,fwt-space-featured,0.1,5,1,51,0.004,0,4.579,
fwt-space,fwt-space-featured,0.1,5,1,51,0.004,0,4.567,
fwt-space,fwt-space-vids,0.248,5,1,51,0.004,0,4.576,
fwt-space,fwt-space-vids,0.248,5,1,51,0.004,0,4.603,
fwt-space,fwt-space-vids,0.248,5,1,51,0.004,0,4.603,
fwt-space,fwt-space-blogs,0.262,13,1,171,0.014,0.001,11.837,
fwt-space,fwt-space-blogs,0.246,13,1,171,0.014,0.001,11.754,
fwt-space,fwt-space-blogs,0.329,13,1,161,0.015,0.001,11.896,
fwt-space,fwt-space-social,0,8,1,80,0.007,0,6.337,
fwt-space,fwt-space-social,0,8,1,80,0.007,0,6.22,
fwt-space,fwt-space-social,0,8,1,80,0.007,0,6.292,
fwt-space,fwt-space-footer,0.474,2,1,8,0.001,0,2.381,
fwt-space,fwt-space-footer,0.474,2,1,8,0.001,0,2.364,
fwt-space,fwt-space-footer,0.474,2,1,8,0.001,0,2.383,
fwt-running,fwt-running-header,0.289,10,1,87,0.009,0.001,7.279,
fwt-running,fwt-running-header,0.289,10,1,87,0.008,0.001,7.385,
fwt-running,fwt-running-header,0.365,10,1,86,0.009,0,7.342,
fwt-running,fwt-running-navigation,0.304,14,1,109,0.011,0.001,10.909,
fwt-running,fwt-running-navigation,0.308,14,1,109,0.011,0.001,10.826,
fwt-running,fwt-running-navigation,0.308,14,1,110,0.012,0.001,10.66,
fwt-running,fwt-running-content,0.28,12,1,148,0.012,0.001,13.052,
fwt-running,fwt-running-content,0.28,12,1,147,0.013,0.001,13.343,
fwt-running,fwt-running-content,0.28,12,1,147,0.012,0.001,13.543,
fwt-running,fwt-running-footer,0,9,1,91,0.008,0,6.97,
fwt-running,fwt-running-footer,0,9,1,91,0.007,0,7.075,
fwt-running,fwt-running-footer,0,9,1,91,0.008,0,6.953,
duckduckgo,ddg-header,0.337,8,1,51,0.005,0.001,6.246,
duckduckgo,ddg-header,0.378,8,1,51,0.005,0.001,6.14,
duckduckgo,ddg-header,0.341,8,1,51,0.005,0.001,6.072,
duckduckgo,ddg-logo,0.3,6,1,41,0.003,0,4.726,
duckduckgo,ddg-logo,0.3,6,1,41,0.004,0,4.647,
duckduckgo,ddg-logo,0.3,6,1,41,0.003,0,4.738,
duckduckgo,ddg-searchbar,0.316,4,1,27,0.002,0,3.618,
duckduckgo,ddg-searchbar,0.316,4,1,27,0.002,0,3.611,
duckduckgo,ddg-searchbar,0.316,4,1,27,0.002,0.001,3.642,
duckduckgo,ddg-privacy,0.382,15,0.933,145,0.014,0.001,12.415,
duckduckgo,ddg-privacy,0.382,15,0.933,146,0.015,0.001,12.341,
duckduckgo,ddg-privacy,0.34,15,1,145,0.014,0.001,12.299,
duckduckgo,ddg-large-blurb,0.27,5,1,40,0.003,0,3.953,
duckduckgo,ddg-large-blurb,0.27,5,1,40,0.003,0.001,3.996,
duckduckgo,ddg-large-blurb,0.27,5,1,40,0.003,0.001,3.932,
duckduckgo,ddg-faq,0.217,1,1,0,0,0,1.725,
duckduckgo,ddg-faq,0.217,1,1,0,0,0,1.744,
duckduckgo,ddg-faq,0.217,1,1,0,0,0,1.74,
icse,icse-navigation,0.399,20,0.75,221,0.021,0.001,16.055,
icse,icse-navigation,0.356,20,0.775,220,0.022,0.001,16.185,
icse,icse-navigation,0.362,20,0.775,215,0.021,0.001,16.588,
hackernews,hn-posts,-,575,-,-,-,-,-,
hackernews,hn-posts,-,575,-,-,-,-,-,
hackernews,hn-posts,-,575,-,-,-,-,-,
personal,author-sidebar,0.325,10,1,93,0.008,0.001,8.461,
personal,author-sidebar,0.294,10,1,92,0.009,0.001,8.22,
personal,author-sidebar,0.294,10,1,92,0.008,0.001,8.494,
icse,icse-news,0.517,17,0.529,144,0.015,0.001,12.352,
icse,icse-news,0.517,17,0.529,144,0.015,0.001,12.389,
icse,icse-news,0.517,17,0.529,143,0.014,0.001,12.494,
ace,ace-options,-,228,-,-,-,-,-,
ace,ace-options,-,228,-,-,-,-,-,
ace,ace-options,-,228,-,-,-,-,-,
icse,icse-dates,0.407,61,0.885,630,0.138,0.005,46.996,
icse,icse-dates,0.415,61,0.893,642,0.14,0.006,47.186,
icse,icse-dates,0.42,61,0.893,641,0.122,0.006,46.634,
duckduckgo,ddg-minipages,0.229,16,1,160,0.02,0.001,11.899,
duckduckgo,ddg-minipages,0.229,16,1,160,0.014,0.001,12.153,
duckduckgo,ddg-minipages,0.229,16,1,160,0.014,0.001,12.085,
ieee,ieee-conferences,0.41,62,0.903,628,0.138,0.004,47.182,
ieee,ieee-conferences,0.44,62,0.839,629,0.146,0.005,47.323,
ieee,ieee-conferences,0.408,62,0.903,625,0.142,0.004,48.028,
ieee,ieee-authors,0.443,46,0.685,460,0.099,0.001,35.798,
ieee,ieee-authors,0.384,46,0.946,460,0.107,0.002,35.684,
ieee,ieee-authors,0.355,46,0.978,467,0.089,0.001,36.227,
hackernews,hn-footer,0.175,11,1,128,0.01,0.001,9.4,
hackernews,hn-footer,0.302,11,0.955,129,0.011,0.001,9.331,
hackernews,hn-footer,0.175,11,1,128,0.01,0.001,9.401,
ieee,ieee-articles,0.454,27,0.833,268,0.029,0.001,19.588,
ieee,ieee-articles,0.381,27,1,266,0.033,0.002,19.245,
ieee,ieee-articles,0.454,27,0.833,268,0.03,0.001,19.273,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,3,0.3445,35.7959183673469,0.95634375,127.328125,0.022515625,0.0009609375,11.8519140625,0.0884353741496599
